"Timestamp","1. Sesso:","2. Preferiresti utilizzare un sito Web per la ricerca/pubblicazione di annunci di ripetizioni online o useresti senza problemi una Mobile App?","3. Avresti problemi a interagire con persone più piccole/grandi di te?","4. Preferiresti una gestione dei pagamenti online (tramite i più famosi sistemi di pagamento, come ad esempio PayPal) oppure preferiresti un pagamento fisico?","5. Ti sentiresti più al sicuro se gli utenti fossero forzati a utilizzare i dati reali?","6. Quanto sei a tuo agio nell'interagire con persone (sconosciute) dell'altro sesso nell'ambito delle ripetizioni?","7. Ordina questi luoghi in base a quanto li troveresti comodi/adeguati per una sessione di ripetizioni. [Casa propria]","7. Ordina questi luoghi in base a quanto li troveresti comodi/adeguati per una sessione di ripetizioni. [Casa dell'altro interlocutore]","7. Ordina questi luoghi in base a quanto li troveresti comodi/adeguati per una sessione di ripetizioni. [Aula privata in Università]","7. Ordina questi luoghi in base a quanto li troveresti comodi/adeguati per una sessione di ripetizioni. [Open space in Università]","7. Ordina questi luoghi in base a quanto li troveresti comodi/adeguati per una sessione di ripetizioni. [Luogo pubblico (ad esempio bar, librerie)]","8. Saresti disponibile a sessioni di ripetizione online?","9. Pensi che l'Università degli Studi di Milano-Bicocca offra infrastrutture adeguate alle ripetizioni?","10. Ti piacerebbe avere la possibilità di aggiungere un evento al calendario così da ricevere una notifica prima di ogni sessione di ripetizioni?","11. Hai mai dato ripetizioni a qualche studente che ne avesse bisogno?","1. Qual è la tua posizione nei confronti delle lezioni di gruppo?","2. Preferisci essere pagato in anticipo o in loco?","3. Apprezzeresti una funzionalità di condivisione delle tue offerte di ripetizione sui vari Social Network?","1. Cerchi lezioni principalmente per necessità o per svago?","2. Qual è la tua posizione nei confronti delle lezioni di gruppo?","3. Ordina questi parametri in base alla loro importanza nella tua scelta di un docente. [Presentazione del docente]","3. Ordina questi parametri in base alla loro importanza nella tua scelta di un docente. [Prezzo richiesto]","3. Ordina questi parametri in base alla loro importanza nella tua scelta di un docente. [Distanza richiesta per il luogo dell'incontro]","3. Ordina questi parametri in base alla loro importanza nella tua scelta di un docente. [Feedback di altri utenti]","3. Ordina questi parametri in base alla loro importanza nella tua scelta di un docente. [Altri parametri sociali (ad esempio età, sesso, ecc.)]","1. C'è qualcos'altro che vorresti suggerirci?"
"2019/11/25 7:33:26 AM GMT+1","Maschio","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Indifferente","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","3","1: Peggiore","5: Migliore","4","2","Sì","Sì","Sì","No","","","","Svago","Preferisco le lezioni individuali","3","5: Migliore","4","2","1: Peggiore",""
"2019/11/25 10:08:45 AM GMT+1","Maschio","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento online","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","1: Peggiore","2","3","3","3","Sì","Sì","Sì","Sì","Preferisco le lezioni individuali","Indifferente","Sì","","","","","","","","Integrazione calendario personale"
"2019/11/25 10:09:39 AM GMT+1","Maschio","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Indifferente","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","1: Peggiore","2","5: Migliore","4","3","Preferisco ripetizioni in presenza","No","Sì","Sì","Preferisco le lezioni individuali","Indifferente","Sì","","","","","","","",""
"2019/11/25 10:16:20 AM GMT+1","Maschio","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento fisico","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","5: Migliore","2","1: Peggiore","1: Peggiore","1: Peggiore","Preferisco ripetizioni in presenza","No","Sì","Sì","Preferisco le lezioni individuali","In loco","Sì","","","","","","","",""
"2019/11/25 10:22:50 AM GMT+1","Femmina","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento online","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","1: Peggiore","2","3","3","1: Peggiore","Preferisco ripetizioni in presenza","No","Sì","Sì","Preferisco le lezioni individuali","Indifferente","Sì","","","","","","","",""
"2019/11/25 10:29:00 AM GMT+1","Maschio","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento online","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","2","3","2","1: Peggiore","1: Peggiore","Preferisco ripetizioni in presenza","No","Sì","Sì","Preferisco le lezioni individuali","Indifferente","Sì","","","","","","","",""
"2019/11/25 10:32:17 AM GMT+1","Maschio","Un portale Web è essenziale","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Indifferente","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","3","2","3","1: Peggiore","1: Peggiore","Preferisco ripetizioni in presenza","No","Sì","Sì","Non ho preferenze tra lezioni di gruppo e individuali","In anticipo","No","","","","","","","",""
"2019/11/25 10:32:26 AM GMT+1","Femmina","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento fisico","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","3","2","5: Migliore","5: Migliore","3","Sì","Sì","Sì","No","","","","Necessità","Preferisco le lezioni individuali","3","4","5: Migliore","3","3",""
"2019/11/25 10:33:49 AM GMT+1","Maschio","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento online","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","1: Peggiore","1: Peggiore","5: Migliore","5: Migliore","4","Sì","No","Sì","Sì","Non ho preferenze tra lezioni di gruppo e individuali","In anticipo","Sì","","","","","","","",""
"2019/11/25 10:34:26 AM GMT+1","Femmina","L'App Mobile è sufficiente","Non avrei alcun problema a interagire con persone più piccole/grandi di me","Pagamento fisico","Sì","Non avrei alcun problema nell'interagire con persone dell'altro sesso","3","1: Peggiore","2","1: Peggiore","3","Preferisco ripetizioni in presenza","Sì","Sì","Sì","Preferisco le lezioni individuali","In loco","Sì","","","","","","","",""
